id,category,name,time_range_id,amplitude_id,position_id,speed_type_id,trend_type_id,extra_info
68,,短期低位大幅震荡且底部下移,,,,,,
69,,短期低位大幅震荡且底部上移,,,,,,
70,,短期中位小幅震荡,,,,,,
71,,短期中位小幅震荡且顶部下移,,,,,,
72,,短期中位小幅震荡且顶部上移,,,,,,
73,,短期中位小幅震荡且底部下移,,,,,,
74,,短期中位小幅震荡且底部上移,,,,,,
75,,短期中位中幅震荡,,,,,,
76,,短期中位中幅震荡且顶部下移,,,,,,
77,,短期中位中幅震荡且顶部上移,,,,,,
78,,短期中位中幅震荡且底部下移,,,,,,
79,,短期中位中幅震荡且底部上移,,,,,,
80,,短期中位大幅震荡,,,,,,
81,,短期中位大幅震荡且顶部下移,,,,,,
82,,短期中位大幅震荡且顶部上移,,,,,,
83,,短期中位大幅震荡且底部下移,,,,,,
84,,短期中位大幅震荡且底部上移,,,,,,
85,,短期高位小幅震荡,,,,,,
86,,短期高位小幅震荡且顶部下移,,,,,,
87,,短期高位小幅震荡且顶部上移,,,,,,
88,,短期高位小幅震荡且底部下移,,,,,,
89,,短期高位小幅震荡且底部上移,,,,,,
90,,短期高位中幅震荡,,,,,,
91,,短期高位中幅震荡且顶部下移,,,,,,
92,,短期高位中幅震荡且顶部上移,,,,,,
93,,短期高位中幅震荡且底部下移,,,,,,
94,,短期高位中幅震荡且底部上移,,,,,,
95,,短期高位大幅震荡,,,,,,
96,,短期高位大幅震荡且顶部下移,,,,,,
97,,短期高位大幅震荡且顶部上移,,,,,,
98,,短期高位大幅震荡且底部下移,,,,,,
99,,短期高位大幅震荡且底部上移,,,,,,
100,,中期低位小幅震荡,,,,,,
101,,中期低位小幅震荡且顶部下移,,,,,,
102,,中期低位小幅震荡且顶部上移,,,,,,
103,,中期低位小幅震荡且底部下移,,,,,,
104,,中期低位小幅震荡且底部上移,,,,,,
105,,中期低位中幅震荡,,,,,,
106,,中期低位中幅震荡且顶部下移,,,,,,
107,,中期低位中幅震荡且顶部上移,,,,,,
108,,中期低位中幅震荡且底部下移,,,,,,
109,,中期低位中幅震荡且底部上移,,,,,,
110,,中期低位大幅震荡,,,,,,
111,,中期低位大幅震荡且顶部下移,,,,,,
112,,中期低位大幅震荡且顶部上移,,,,,,
113,,中期低位大幅震荡且底部下移,,,,,,
114,,中期低位大幅震荡且底部上移,,,,,,
115,,中期中位小幅震荡,,,,,,
116,,中期中位小幅震荡且顶部下移,,,,,,
117,,中期中位小幅震荡且顶部上移,,,,,,
118,,中期中位小幅震荡且底部下移,,,,,,
119,,中期中位小幅震荡且底部上移,,,,,,
120,,中期中位中幅震荡,,,,,,
121,,中期中位中幅震荡且顶部下移,,,,,,
122,,中期中位中幅震荡且顶部上移,,,,,,
123,,中期中位中幅震荡且底部下移,,,,,,
124,,中期中位中幅震荡且底部上移,,,,,,
125,,中期中位大幅震荡,,,,,,
126,,中期中位大幅震荡且顶部下移,,,,,,
127,,中期中位大幅震荡且顶部上移,,,,,,
128,,中期中位大幅震荡且底部下移,,,,,,
129,,中期中位大幅震荡且底部上移,,,,,,
130,,中期高位小幅震荡,,,,,,
131,,中期高位小幅震荡且顶部下移,,,,,,
132,,中期高位小幅震荡且顶部上移,,,,,,
133,,中期高位小幅震荡且底部下移,,,,,,
134,,中期高位小幅震荡且底部上移,,,,,,
135,,中期高位中幅震荡,,,,,,
136,,中期高位中幅震荡且顶部下移,,,,,,
137,,中期高位中幅震荡且顶部上移,,,,,,
138,,中期高位中幅震荡且底部下移,,,,,,
139,,中期高位中幅震荡且底部上移,,,,,,
140,,中期高位大幅震荡,,,,,,
141,,中期高位大幅震荡且顶部下移,,,,,,
142,,中期高位大幅震荡且顶部上移,,,,,,
143,,中期高位大幅震荡且底部下移,,,,,,
144,,中期高位大幅震荡且底部上移,,,,,,
145,,长期低位小幅震荡,,,,,,
146,,长期低位小幅震荡且顶部下移,,,,,,
147,,长期低位小幅震荡且顶部上移,,,,,,
148,,长期低位小幅震荡且底部下移,,,,,,
149,,长期低位小幅震荡且底部上移,,,,,,
150,,长期低位中幅震荡,,,,,,
151,,长期低位中幅震荡且顶部下移,,,,,,
152,,长期低位中幅震荡且顶部上移,,,,,,
153,,长期低位中幅震荡且底部下移,,,,,,
154,,长期低位中幅震荡且底部上移,,,,,,
155,,长期低位大幅震荡,,,,,,
156,,长期低位大幅震荡且顶部下移,,,,,,
157,,长期低位大幅震荡且顶部上移,,,,,,
158,,长期低位大幅震荡且底部下移,,,,,,
159,,长期低位大幅震荡且底部上移,,,,,,
160,,长期中位小幅震荡,,,,,,
161,,长期中位小幅震荡且顶部下移,,,,,,
162,,长期中位小幅震荡且顶部上移,,,,,,
163,,长期中位小幅震荡且底部下移,,,,,,
164,,长期中位小幅震荡且底部上移,,,,,,
165,,长期中位中幅震荡,,,,,,
166,,长期中位中幅震荡且顶部下移,,,,,,
167,,长期中位中幅震荡且顶部上移,,,,,,
168,,长期中位中幅震荡且底部下移,,,,,,
169,,长期中位中幅震荡且底部上移,,,,,,
170,,长期中位大幅震荡,,,,,,
171,,长期中位大幅震荡且顶部下移,,,,,,
172,,长期中位大幅震荡且顶部上移,,,,,,
173,,长期中位大幅震荡且底部下移,,,,,,
174,,长期中位大幅震荡且底部上移,,,,,,
175,,长期高位小幅震荡,,,,,,
176,,长期高位小幅震荡且顶部下移,,,,,,
177,,长期高位小幅震荡且顶部上移,,,,,,
178,,长期高位小幅震荡且底部下移,,,,,,
179,,长期高位小幅震荡且底部上移,,,,,,
180,,长期高位中幅震荡,,,,,,
181,,长期高位中幅震荡且顶部下移,,,,,,
182,,长期高位中幅震荡且顶部上移,,,,,,
183,,长期高位中幅震荡且底部下移,,,,,,
184,,长期高位中幅震荡且底部上移,,,,,,
185,,长期高位大幅震荡,,,,,,
186,,长期高位大幅震荡且顶部下移,,,,,,
187,,长期高位大幅震荡且顶部上移,,,,,,
188,,长期高位大幅震荡且底部下移,,,,,,
189,,长期高位大幅震荡且底部上移,,,,,,
190,,突破回踩,,,,,,
191,,突破压力位,,,,,,
192,,跌破支撑位,,,,,,
193,,跌破反弹,,,,,,
